from,to,status,reason
/2015/02/scrumble-an-agile-board-game/feed/,/2015/02/scrumble-an-agile-board-game/,301,attachmentpagina
/2015/02/video-scrum/comment-page-1/,/2015/02/video-scrum/,301,legacy URL
/2015/02/video-scrum/feed/,/2015/02/video-scrum/,301,attachmentpagina
/2015/03/a-day-at-the-movies/evernote-camera-roll-20150325-171233/,/2015/03/a-day-at-the-movies/,301,attachmentpagina
/2015/03/a-day-at-the-movies/evernote-camera-roll-20150325-171233/feed/,/2015/03/a-day-at-the-movies/,301,attachmentpagina
/2015/05/4729/feed/,/2015/05/4729/,301,attachmentpagina
/2015/05/4729/telestrations-2/,/2015/05/4729/,301,attachmentpagina
/2015/05/4729/telestrations-2/feed/,/2015/05/4729/,301,attachmentpagina
/2015/05/agile-clock/comment-page-1/,/2015/05/agile-clock/,301,legacy URL
/2015/05/agile-clock/feed/,/2015/05/agile-clock/,301,attachmentpagina
/2015/05/weekend-escape/comment-page-1/,/2015/05/weekend-escape/,301,legacy URL
/2015/05/weekend-escape/feed/,/2015/05/weekend-escape/,301,attachmentpagina
/2015/07/more-meaningful-stories/comment-page-1/,/2015/07/more-meaningful-stories/,301,legacy URL
/2015/07/more-meaningful-stories/feed/,/2015/07/more-meaningful-stories/,301,attachmentpagina
/2015/07/penny-flow/british-one-penny-coins-image-shot-2009-exact-date-unknown/,/2015/07/penny-flow/,301,attachmentpagina
/2015/07/penny-flow/british-one-penny-coins-image-shot-2009-exact-date-unknown/feed/,/2015/07/penny-flow/,301,attachmentpagina
/2015/07/penny-flow/comment-page-1/,/2015/07/penny-flow/,301,legacy URL
/2015/07/penny-flow/feed/,/2015/07/penny-flow/,301,attachmentpagina
/2015/07/penny-flow/penny_grid/,/2015/07/penny-flow/,301,attachmentpagina
/2015/07/penny-flow/penny_grid/feed/,/2015/07/penny-flow/,301,attachmentpagina
/2015/08/kanban-pizza-game/feed/,/2015/08/kanban-pizza-game/,301,attachmentpagina
/2015/08/one-word-retrospective-game/comment-page-1/,/2015/08/one-word-retrospective-game/,301,legacy URL
/2015/08/one-word-retrospective-game/feed/,/2015/08/one-word-retrospective-game/,301,attachmentpagina
/2015/08/retrospective-darts/feed/,/2015/08/retrospective-darts/,301,attachmentpagina
/2015/09/scrumgauntlet/done/,/2015/09/scrumgauntlet/,301,attachmentpagina
/2015/09/scrumgauntlet/feed/,/2015/09/scrumgauntlet/,301,attachmentpagina
/2015/09/scrumgauntlet/gauntletlayout-2/,/2015/09/scrumgauntlet/,301,attachmentpagina
/2015/09/scrumgauntlet/gauntletreqs/,/2015/09/scrumgauntlet/,301,attachmentpagina
/2015/09/scrumgauntlet/gauntletreqs/feed/,/2015/09/scrumgauntlet/,301,attachmentpagina
/2015/09/scrumgauntlet/positioning-2/,/2015/09/scrumgauntlet/,301,attachmentpagina
/2015/09/scrumgauntlet/positioning-2/feed/,/2015/09/scrumgauntlet/,301,attachmentpagina
/2015/09/scrumgauntlet/running_the_gauntlet/,/2015/09/scrumgauntlet/,301,attachmentpagina
/2015/09/scrumgauntlet/todototest/,/2015/09/scrumgauntlet/,301,attachmentpagina
/2015/09/scrumgauntlet/todototest/feed/,/2015/09/scrumgauntlet/,301,attachmentpagina
/2015/10/4-ls/4ls/,/2015/10/4-ls/,301,attachmentpagina
/2015/10/4-ls/4ls/feed/,/2015/10/4-ls/,301,attachmentpagina
/2015/10/4-ls/comment-page-1/,/2015/10/4-ls/,301,legacy URL
/2015/10/4-ls/feed/,/2015/10/4-ls/,301,attachmentpagina
/2015/10/jargonbust/comment-page-1/,/2015/10/jargonbust/,301,legacy URL
/2015/10/jargonbust/feed/,/2015/10/jargonbust/,301,attachmentpagina
/2015/11/silent-collaboration/comment-page-1/,/2015/11/silent-collaboration/,301,legacy URL
/2015/11/silent-collaboration/feed/,/2015/11/silent-collaboration/,301,attachmentpagina
/2015/12/this-sprint-future-o-spective-with-santa-claus/comment-page-1/,/2015/12/this-sprint-future-o-spective-with-santa-claus/,301,legacy URL
/2015/12/this-sprint-future-o-spective-with-santa-claus/feed/,/2015/12/this-sprint-future-o-spective-with-santa-claus/,301,attachmentpagina
/2015/12/this-sprint-future-o-spective-with-santa-claus/wp_20151216_003/,/2015/12/this-sprint-future-o-spective-with-santa-claus/,301,attachmentpagina
/2015/12/this-sprint-future-o-spective-with-santa-claus/wp_20151216_003/feed/,/2015/12/this-sprint-future-o-spective-with-santa-claus/,301,attachmentpagina
/2016/01/daily-stand-up-simulation/comment-page-1/,/2016/01/daily-stand-up-simulation/,301,legacy URL
/2016/01/daily-stand-up-simulation/feed/,/2016/01/daily-stand-up-simulation/,301,attachmentpagina
/2016/01/the-job-title-game/feed/,/2016/01/the-job-title-game/,301,attachmentpagina
